"periode_data","tahun","nama_provinsi","nama_kabupaten_kota","nama_kecamatan","jenis_kelamin","jumlah","keterangan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","Perempuan","1435","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","Laki-laki","1116","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","Perempuan","1064","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","Laki-laki","393","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","Perempuan","425","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","Laki-laki","1041","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","Perempuan","1196","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","Laki-laki","714","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","Perempuan","838","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","Laki-laki","150","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","Perempuan","175","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","Laki-laki","424","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","Perempuan","423","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","Laki-laki","593","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","Perempuan","701","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","Laki-laki","901","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","Perempuan","956","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","Laki-laki","1091","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","Perempuan","1154","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","Laki-laki","810","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","Perempuan","982","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","Laki-laki","511","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","Perempuan","562","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","Laki-laki","1089","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","Perempuan","1170","Antar Kecamatan dalam 1 Kota"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","Laki-laki","894","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","Perempuan","944","Antar Kota dalam 1 Provinsi"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","Laki-laki","717","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","Perempuan","716","Antar Kelurahan dalam 1 Kecamatan"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","Laki-laki","732","Antar Kecamatan dalam 1 Kota"
