Title,Bedrooms,Bathrooms,Carports,Agent,Price_num,Installment_num,Land_sqm,Building_sqm,Area,City,Price_sqm,property_type,price_per_land_m2,price_segment,land_building_ratio,Price_sqm_M,query,lat,lon
Dijual Cepat Rumah Gaya Minimalis Hadap Timur Dalam Kluster Nyaman Dekat Stasiun Mrt Lebak Bulus,3,3,1,Viera,1900000000.0,8000000,102,125,Cirendeu,Jakarta Selatan,15200000.0,Residential,18627451.0,1–2B,0.82,15.2,"Cirendeu, Jakarta Selatan, Indonesia",-6.289906,106.7687136
Rumah Mewah Swimming Pool di Lebak Bulus,3,3,4,Christina S,6500000000.0,27000000,252,128,Lebak Bulus,Jakarta Selatan,50781250.0,Residential,25793651.0,5–10B,1.97,50.78125,"Lebak Bulus, Jakarta Selatan, Indonesia",-6.3025678,106.7803539
"Rumah Tua Hitung Tanah Dekat Senopati Area - Scbd, Jakarta Selatan.",3,2,1,Tony Sw,20000000000.0,84000000,363,270,Kebayoran Baru,Jakarta Selatan,74074074.07,Residential,55096419.0,10–50B,1.34,74.07407407,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Rumah Besar Luas Dan Asri Di Kebayoran Lama S7438,6,3,7,Anita Septiana,28000000000.0,118000000,1398,345,Kebayoran Lama,Jakarta Selatan,81159420.29,Residential,20028612.0,10–50B,4.05,81.15942029,"Kebayoran Lama, Jakarta Selatan, Indonesia",-6.2491277,106.7777818
"Rumah Hitung Tanah Lokasi Terbaik Di Gandaria, Jakarta Selatan",3,3,2,Novita Kartika,10000000000.0,42000000,192,199,Gandaria,Jakarta Selatan,50251256.28,Residential,52083333.0,5–10B,0.96,50.25125628,"Gandaria, Jakarta Selatan, Indonesia",-6.2450525,106.7883289
Rumah di Menteng Dalam Tebet dekat Kasablanka Cocok untuk Rumah dan Kantor,4,3,1,Herry Heryadi,5500000000.0,23000000,203,295,Menteng Dalam,Jakarta Selatan,18644067.8,Residential,27093596.0,5–10B,0.69,18.644067800000002,"Menteng Dalam, Jakarta Selatan, Indonesia",-6.2320512,106.8409966
"Rumah Lelang Bri, Jagakarsa, Jakarta Selatan",5,4,1,Bank Bri,2900000000.0,12000000,500,258,Jagakarsa,Jakarta Selatan,11240310.08,Residential,5800000.0,2–5B,1.94,11.24031008,"Jagakarsa, Jakarta Selatan, Indonesia",-6.3301011,106.8222371
Rumah Tua di Prapanca Kebayoran Baru,2,2,2,Lucy Widjaya,26000000000.0,110000000,374,250,Kebayoran Baru,Jakarta Selatan,104000000.0,Residential,69518717.0,10–50B,1.5,104.0,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Rumah Asri Nyaman Siap Huni 2lantai Kebayoran Baru,8,5,10,Sandi Tavianto Putra,95000000000.0,402000000,1026,750,Kebayoran Baru,Jakarta Selatan,126666666.7,Residential,92592593.0,> 50B,1.37,126.66666670000001,"Kebayoran Baru, Jakarta Selatan, Indonesia",-6.2431637,106.7998503
Pejaten Barat Jual Cepat Rumah Minimalis Dalam Komplek,5,4,2,Komala Dewi,16000000000.0,67000000,447,630,Pejaten,Jakarta Selatan,25396825.4,Residential,35794183.0,10–50B,0.71,25.396825399999997,"Pejaten, Jakarta Selatan, Indonesia",-6.2784107,106.8297531
